i,j,shade,mid,file_name,partition,destroy_label,color
0.0,48.0,8.066462812493866,5.4532816209488235,train/a_0.0_48.0_8.066462812493866_5.4532816209488235.png,0,0,0
0.0,48.5,5.996238127913965,12.799147310624143,train/a_0.0_48.5_5.996238127913965_12.799147310624143.png,0,1,0
0.0,49.0,9.704578269822811,5.214670829599907,train/a_0.0_49.0_9.704578269822811_5.214670829599907.png,0,1,0
0.0,49.5,8.11047893377412,5.328335447653076,train/a_0.0_49.5_8.11047893377412_5.328335447653076.png,0,0,0
0.0,50.0,9.8688073149435,11.725082863518452,train/a_0.0_50.0_9.8688073149435_11.725082863518452.png,0,1,0
0.0,50.5,8.421280359958834,7.296808524563636,train/a_0.0_50.5_8.421280359958834_7.296808524563636.png,0,0,0
0.0,51.0,6.663193428179865,4.623974240956746,train/a_0.0_51.0_6.663193428179865_4.623974240956746.png,0,0,0
0.0,51.5,7.568016694697844,3.670839231924558,train/a_0.0_51.5_7.568016694697844_3.670839231924558.png,0,0,0
0.0,52.0,7.823222706478293,3.0511169680342967,train/a_0.0_52.0_7.823222706478293_3.0511169680342967.png,0,0,0
0.0,52.5,7.684139939164623,9.178743088401683,train/a_0.0_52.5_7.684139939164623_9.178743088401683.png,0,1,0
0.0,53.0,6.990706681882309,5.899819871439286,train/a_0.0_53.0_6.990706681882309_5.899819871439286.png,0,0,0
0.0,53.5,3.8055460009707023,9.604742914311785,train/a_0.0_53.5_3.8055460009707023_9.604742914311785.png,0,1,0
0.0,54.0,5.2083226105290175,5.085695431065829,train/a_0.0_54.0_5.2083226105290175_5.085695431065829.png,0,0,0
0.0,54.5,9.965484366449152,8.884436173794384,train/a_0.0_54.5_9.965484366449152_8.884436173794384.png,0,1,0
0.0,55.0,6.259260060240231,6.03712212347645,train/a_0.0_55.0_6.259260060240231_6.03712212347645.png,0,0,0
0.0,55.5,7.034397012896062,6.826421268506419,train/a_0.0_55.5_7.034397012896062_6.826421268506419.png,0,0,0
0.0,56.0,6.4671666954262825,6.5037219506295445,train/a_0.0_56.0_6.4671666954262825_6.5037219506295445.png,0,0,0
0.0,56.5,6.6433937134087095,6.475349049379068,train/a_0.0_56.5_6.6433937134087095_6.475349049379068.png,0,0,0
0.0,57.0,4.418424043024451,8.690769013160883,train/a_0.0_57.0_4.418424043024451_8.690769013160883.png,0,0,0
